"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","result_label","result_score","tr001_modele_dpe_type_libelle","tr002_type_batiment_description"
"3CL","3CL-DPE, version 1.3","2013-04-12",132,"C",29,"D",5200,190,46.134409000000005,5.55394,"3 Impasse du Tilleul 01430 Saint-Martin-du-Frêne",0.94,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-20",0,"N",0,"N",1947,42,43.320718,6.287329,"7 Rue de la Treille 83590 Gonfaron",0.95,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",326,"E",18,"C",2006,107,46.661390999999995,2.686369,"7 Route du Bois Jaubin 03360 Saint-Bonnet-Tronçais",0.68,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-06",326,"E",14,"C",1948,90,43.950393,6.8112770000000005,"Rue Serpente 04320 Entrevaux",0.94,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-27",221,"D",3,"A",2006,78.2,44.801994,6.583455000000001,"Sainte Marguerite 05120 Saint-Martin-de-Queyrières",0.64,"Location","Logement"
"Facture","facture","2013-02-13",0,"N",0,"N",1948,54.31,43.546228,7.0404279999999995,"44 Boulevard Alexandre III 06400 Cannes",0.96,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-10",174,"D",52,"E",2001,87.56,45.095755,4.786621,"Chemin du Moulin 07610 Lemps",0.5,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-02",351,"F",82,"G",1947,122.32,49.763009999999994,4.707744,"10 Rue Léon Blum 08000 Charleville-Mézières",0.65,"Vente","Logement"
"Méthode Facture",,"2013-05-06",8,"A",0,"A",1947,102,42.945868,1.5636079999999999,"Chemin de Micou 09000 Ganac",0.7,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-02",249.12,"E",13.26,"C",2006,91,48.14083,4.211108,"16 bis Route de Nicey 10260 Rumilly-lès-Vaudes",0.81,"Location","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",195,"D",9,"B",1989,35,43.114703000000006,3.107654,"Résidence Bora Bora 11430 Gruissan",0.77,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-05-08",287.13,"E",86.14,"G",1974,202.6,44.683193,2.843667,"19 Rue Marcellin Cazes 12210 Laguiole",0.76,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-08",206,"D",10,"B",2006,84,43.331016999999996,5.432009,"32 Avenue de la Croix Rouge 13013 Marseille",0.66,"Vente","Logement"
"3CL","3CL-DPE, version 1.3","2013-04-13",322,"E",17,"C",1983,80,49.329046999999996,-0.448143,"4 Rue des Aubepines 14470 Courseulles-sur-Mer",0.95,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-05-09",358.04,"F",20.31,"C",1975,172.5,45.257503,3.200014,"8 Rue de l'Egalité 15500 Massiac",0.65,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-04-09",29.54,"A",6.91,"B",2006,87.5,45.63127,0.166008,"Hameau des Rossignols 16000 Angoulême",0.76,"Neuf","Maison Individuelle"
"FACTURE","VERSION_2012","2013-04-05",64.42,"B",0.99,"A",1940,109.5,45.666506,-0.618811,"16 Route de la Poitevinière 17460 Préguillac",0.59,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-23",219.47,"D",52.89,"E",1900,108.7,47.339605,2.843327,"Rue des Obuses 18300 Saint-Satur",0.51,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-10",212,"D",10,"B",1983,42.25,45.154168,1.5354889999999999,"18 Rue Jean Fieyre 19100 Brive-la-Gaillarde",0.96,"Vente","Logement"
"3CL","3CL-DPE, version 1.3","2013-04-09",213,"D",10,"B",2006,42,47.329418,5.041893,"9 Rue Charles de Vergennes 21000 Dijon",0.96,"Location","Logement"
"FACTURE","VERSION_2012","2013-04-25",282.41,"E",239.06,"G",1900,114.75,48.668678,-3.3587190000000002,"Kerscane 22140 Cavan",0.47,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-09",281,"E",65,"F",1978,121.2,46.180639,2.4860860000000002,"15 Rue des Thermes 23110 Évaux-les-Bains",0.85,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-02",189.34,"D",44.69,"E",2000,95,45.382138,0.259403,"Le Moulin du Treuil 24320 Nanteuil-Auriac-de-Bourzac",0.78,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-11",296,"E",20,"C",1989,22.63,47.511061,6.79948,"Rue de la Souaberie 25200 Montbéliard",0.66,"Vente","Logement"
"Facture","facture","2013-04-12",0,"N",0,"N",1948,180,44.485683,4.715507,"Route de Viviers 26780 Châteauneuf-du-Rhône",0.56,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",298,"E",11,"C",1983,105,49.31046,0.34579499999999996,"65 Chemin de la Campagne 27210 La Lande-Saint-Léger",0.77,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-12",0,"N",0,"N",1947,75,48.435848,1.711813,"9 Grande Rue 28700 Béville-le-Comte",0.94,"Location","Maison Individuelle"
"3CL - DPE","V2012","2013-04-17",259.91,"E",12.68,"C",1999,64.2,47.8954,-4.025116000000001,"12 Residence de la Chataigneraie 29170 Pleuven",0.63,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-24",126,"C",5,"A",1983,65,41.598884000000005,9.268513,"Hameau Turriccioli II 20137 Porto-Vecchio",0.69,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-03",152,"D",9,"B",1989,130,42.310014,9.14804,"Residence Badello 20250 Corte",0.52,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-11",38,"B",1,"A",1947,60.83,43.836686,4.364898999999999,"14 Rue Notre Dame 30000 Nîmes",0.96,"Vente","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation"
"3CL","3CL-DPE, version 1.3","2013-04-08",177,"D",9,"B",2001,70.66,43.624778000000006,1.424567,"6 Rue James Pradier 31200 Toulouse",0.59,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",155,"D",9,"B",2001,105,43.714311,-0.053347000000000006,"Saint-Martin-d'Armagnac",0.67,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-09",276,"E",15,"C",1948,77.14,44.680851000000004,-0.527678,"19 Place Montesquieu 33650 La Brède",0.95,"Location","Logement"
"3CL - DPE","V2012","2013-04-04",253.77,"E",14.32,"C",1984,124,43.656307,3.9713339999999997,"12 bis Rue du Peyrou 34740 Vendargues",0.8,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-10",112,"C",20,"C",2001,115,48.063917,-1.525618,"7 Rue de la Perche 35410 Domloup",0.94,"Location","Maison Individuelle"
"Méthode Facture",,"2013-04-17",101,"C",3,"A",1947,118,46.584462,1.9896509999999998,"8 Rue Venose 36400 La Châtre",0.95,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-03",265.27,"E",62.07,"F",1900,70,47.326966,0.40798,"33 Place Léon Boyer 37130 Langeais",0.78,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-05",293,"E",15,"C",2006,91,45.50207,4.9671449999999995,"38 Montee des Dauphinois 38780 Eyzin-Pinet",0.94,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-04",318.28,"E",17.88,"C",1977,90,47.149928,5.549608,"1 Chemin des Sablonnières 39700 Châtenois",0.58,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",140,"C",4,"A",2001,164,43.927889,-0.635899,"16 Rue Menjoulic 40090 Saint-Martin-d'Oney",0.73,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-09",327.95,"E",19.18,"C",1975,107.6,47.499183,1.1666969999999999,"4 Rue des Champs Marquiers 41150 Veuzain-sur-Loire",0.69,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-05",97,"C",4,"A",1984,125,45.473081,4.7206269999999995,"222 Allee de la Minarie 42410 La Chapelle-Villars",0.94,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-03",0,"N",0,"N",1947,71,45.030194,3.3883410000000005,"Piece Basse 43300 Pinols",0.3,"Vente","Logement"
"3CL - DPE","V2012","2013-04-10",80.45,"B",18.03,"C",2012,75.3,47.198716,-1.5912309999999998,"3 Chemin Poisson 44100 Nantes",0.84,"Location","Logement"
